usuario|canciones|edad|sexo|likes|clasico|country|rock|cumbia|pop|boleros
1034|428|39|hombre|94|74.8722|1.66493|135.592|67.4251|44.2167|12.3294
1035|216|57|hombre|249|98.5134|3.07788|167.06|252.851|1.43801|18.4007
1036|318|61|hombre|75|96.5105|2.11947|151.627|24.1254|10.872|19.0021
1037|124|48|hombre|289|48.7336|4.3637|106.653|1.96261|6.46225|1.94493
1038|362|80|mujer|151|32.1633|0.140639|127.803|274.831|45.0205|15.6605
1039|186|82|mujer|150|97.6442|5.37974|180.305|110.605|27.7118|18.3724
104|19|17|hombre|169|73.4463|5.9222|156.435|159.269|34.8694|9.38372
1040|488|48|mujer|121|81.6015|2.49359|149.754|220.171|2.08451|21.9248
1041|242|74|mujer|368|35.4168|9.90234|28.1429|31.7459|15.8883|1.8975
1042|66|37|hombre|67|62.2974|8.71618|89.9955|281.194|18.6842|22.6737
1043|60|4|mujer|499|80.2069|5.26308|165.898|45.3361|8.25921|20.105
1044|123|62|mujer|436|69.6163|0.693941|74.0813|104.055|44.2411|19.6587
1045|222|70|hombre|273|71.9619|7.58101|19.2736|249.249|21.1525|5.1306
1046|404|43|mujer|204|89.3388|8.70997|22.8087|279.018|8.97089|23.2047
1047|290|70|mujer|150|4.9188|5.33804|54.0487|187.324|30.7323|18.884
1048|127|17|mujer|205|78.4923|9.18763|10.8965|203.237|27.4537|24.9763
1049|108|31|mujer|65|17.3223|2.93755|58.4181|28.2478|31.0234|11.2489
105|285|76|mujer|145|91.1476|1.58607|6.33946|218.358|39.8627|4.19152
1050|92|39|mujer|170|4.9983|4.94148|8.08538|228.014|25.9073|15.3629
1051|36|86|hombre|404|24.3246|0.521023|92.2115|106.334|11.2721|8.48715
1052|188|44|hombre|19|74.3016|3.23786|124.877|202.072|10.3688|11.9405
1053|236|71|hombre|166|51.2166|7.67013|35.6356|288.93|44.0932|23.4087
1054|80|16|mujer|49|40.8346|6.25344|151.166|278.716|11.1405|12.8725
1055|339|22|mujer|140|4.68174|6.17277|181.608|245.854|48.9061|0.245485
1056|351|53|mujer|108|61.6437|8.02118|28.5665|57.8446|34.3482|18.1848
1057|310|0|hombre|32|93.3839|0.0745887|163.44|18.1332|5.62732|14.3401
1058|246|15|mujer|381|21.1485|5.88633|125.574|111.266|34.7337|7.97645
1059|338|20|mujer|389|49.6339|9.68379|60.3195|244.129|29.0388|18.9739
106|270|60|mujer|77|31.6946|4.78876|115.434|295.655|30.5431|9.16732
1060|16|51|hombre|321|87.2045|5.51528|166.417|263.671|24.809|10.1055
1061|105|20|hombre|474|48.4289|1.86884|80.7978|6.12767|41.1272|24.1344
1062|286|84|hombre|29|6.55656|6.85663|150.221|205.483|34.6202|12.74
1063|128|68|mujer|92|33.7737|8.30716|118.648|241.417|19.6678|0.530676
1064|202|8|hombre|199|59.8485|2.76114|11.1549|165.634|26.0246|20.5523
1065|487|21|mujer|348|30.1561|8.41826|199.179|93.8523|39.5859|9.22223
1066|165|96|hombre|313|14.6266|1.79724|164.448|208.286|12.2908|1.94752
1067|428|45|mujer|40|28.279|4.94465|88.7638|278.432|5.74961|12.9745
1068|163|36|mujer|242|33.0674|9.0322|192.641|8.63057|35.7216|11.6384
1069|176|84|hombre|461|60.5125|8.6132|9.11311|114.991|10.7009|20.1814
107|13|0|mujer|209|50.5464|9.11309|61.9571|272.481|9.2192|6.00397
1070|67|31|mujer|385|98.7341|9.62927|132.114|288.639|40.1978|19.9963
1071|136|90|hombre|313|59.2972|9.24933|110.528|209.672|43.9316|17.5218
1072|359|64|hombre|337|12.8665|9.85867|13.3604|104.878|42.2028|7.19689
1073|424|33|hombre|194|75.1314|0.786409|112.832|268.45|39.9026|19.0314
1074|484|50|mujer|60|96.3362|3.15849|47.6763|253.052|35.2413|18.7598
1075|77|34|hombre|383|77.2287|7.9885|43.5054|216.897|31.715|23.6021
1076|138|3|mujer|34|38.1937|5.16793|57.5006|82.4532|11.8885|22.4585
1077|232|66|mujer|288|48.1372|7.54669|76.4747|292.604|45.0139|11.323
1078|365|3|hombre|63|76.7472|4.8635|32.4064|87.2092|13.8282|8.58416
1079|412|53|mujer|20|37.185|2.21807|122.234|108.745|22.0563|0.132115
108|229|69|mujer|124|75.3906|7.239|168.875|242.321|6.1793|9.04919
1080|330|91|hombre|397|14.2101|2.97072|12.8045|250.893|31.7579|21.3171
1081|77|20|mujer|3|4.31594|3.20058|77.846|231.35|14.398|14.3866
1082|493|8|mujer|423|51.1307|9.7558|110.509|10.175|39.4293|4.27399
1083|249|4|hombre|325|68.179|4.13123|107.924|92.1271|39.672|23.8868
1084|433|52|hombre|279|9.60743|9.20965|192.368|100.107|27.7747|4.16663
1085|487|97|mujer|437|57.3848|0.332738|56.5448|10.9892|38.0265|15.1227
1086|449|53|hombre|51|1.39715|6.74664|93.8104|183.346|45.4113|24.3062
1087|148|44|mujer|436|8.20547|2.36118|48.5073|85.7088|30.2877|24.8746
1088|314|5|mujer|239|56.7962|5.54379|80.2527|273.771|44.4075|11.0174
1089|217|26|hombre|290|62.7046|1.26549|155.576|137.901|43.6397|10.3103
109|234|51|mujer|357|23.732|1.03421|132.496|227.566|33.9759|16.0339
1090|348|53|mujer|113|19.6632|1.72192|9.57391|186.515|32.7496|23.4429
1091|169|73|mujer|376|28.8655|1.86852|58.1046|91.3483|48.9579|11.2053
1092|469|96|hombre|374|19.2108|4.88509|72.1172|132.792|33.9379|23.0324
1093|403|81|hombre|286|62.7994|2.5757|147.491|91.6249|42.9898|6.52647
1094|251|6|hombre|488|24.0285|6.74443|50.981|264.585|0.425008|19.6595
1095|265|11|hombre|125|76.3703|2.32119|189.341|55.2072|14.3722|23.7481
1096|14|38|mujer|2|53.4943|2.32149|91.7011|196.541|41.3665|21.88
1097|44|15|hombre|31|79.8844|1.38627|178.21|53.9121|18.3279|16.427
1098|194|94|mujer|224|41.5897|3.55734|20.8252|88.8701|39.2371|3.63321
1099|94|26|mujer|197|20.776|0.154902|117.874|65.2099|23.7468|5.30978
11|319|37|mujer|406|87.4071|3.76547|70.7269|178.176|13.4181|13.0817
110|100|41|hombre|223|56.4996|0.962532|69.4027|33.215|17.1418|7.23849
1100|355|76|hombre|209|80.7409|8.36764|168.233|112.832|30.4128|1.66905
1101|212|54|mujer|460|7.32513|1.62874|45.3684|7.7059|8.21565|1.38413
1102|129|60|hombre|110|16.1024|5.49969|199.656|124.253|38.4955|21.8509
1103|50|95|hombre|344|95.5038|1.43061|107.615|223.751|38.0663|8.76744
1104|127|4|mujer|386|15.0802|7.89463|120.351|142.748|42.6186|5.15016
1105|295|6|mujer|498|41.0494|6.10593|11.3488|186.522|35.8996|1.62516
1106|404|51|hombre|140|4.26704|7.53603|34.6028|294.127|40.8593|16.4588
1107|354|64|hombre|215|98.0606|4.05034|65.2756|119.889|28.1252|19.7336
1108|17|97|mujer|134|87.1413|1.30126|70.083|153.432|3.07042|1.49216
1109|58|24|hombre|144|24.3087|3.43427|6.34731|296.032|6.49174|16.6978
111|262|17|hombre|46|13.6834|3.92226|33.0851|94.8682|5.28453|17.6861
1110|120|3|hombre|20|10.9863|7.0142|139.639|32.607|35.9642|19.4007
1111|90|11|hombre|178|87.5048|6.83146|192.962|2.24362|38.0541|23.3524
1112|195|73|mujer|212|6.72322|7.7671|41.6176|56.6083|29.6864|23.0027
1113|335|88|hombre|243|46.5959|5.00669|154.09|192.559|38.5994|3.06008
1114|377|69|mujer|114|47.2571|5.90377|175.691|36.462|23.2484|12.4176
1115|140|61|hombre|347|87.0039|3.95808|97.9282|187.943|0.935056|4.60316
1116|156|60|mujer|248|53.24|7.74048|163.125|277.646|31.3453|8.12756
1117|464|15|hombre|163|44.263|6.23396|195.977|256.48|26.904|12.5722
1118|102|27|mujer|60|85.1767|2.41824|133.268|220.072|25.5141|17.9593
1119|210|50|mujer|370|62.2874|2.94458|156.215|74.1098|37.3851|12.9538
112|27|93|hombre|344|38.3499|1.38436|73.447|251.942|21.5091|7.7159
1120|195|89|hombre|437|48.8638|7.69861|92.9658|100.461|36.5338|5.50795
1121|24|86|mujer|274|15.6019|4.69508|193.253|149.6|13.6358|2.20847
1122|482|64|hombre|199|55.2703|4.81806|161.735|75.3921|43.7352|21.3647
1123|375|24|mujer|130|53.2305|7.37849|171.582|212.904|47.5751|15.446
1124|290|86|hombre|243|98.7924|4.08823|29.8918|231.7|3.33958|21.1966
1125|180|84|hombre|260|45.2768|5.07175|39.0846|173.677|35.8679|2.11482
1126|331|35|mujer|46|98.8537|3.80384|51.1418|223.304|25.7104|24.4759
1127|132|4|hombre|55|97.7186|0.268067|115.356|219.84|10.1154|4.21439
1128|14|93|mujer|21|68.2855|6.4869|9.66337|180.306|4.1413|22.2876
1129|436|1|hombre|290|82.9226|5.79716|168.114|111.863|5.53631|24.2159
113|123|62|mujer|299|46.0768|0.408336|105.593|154.766|46.2355|1.85425
1130|380|91|mujer|428|69.8657|0.594079|116.035|9.88258|27.0058|18.3885
1131|58|3|hombre|20|39.5392|0.586099|30.4007|42.162|26.0462|19.4158
1132|7|3|mujer|164|37.2709|6.37608|149.86|217.946|37.6646|8.25185
1133|216|26|hombre|50|4.09612|0.692594|22.2766|238.271|22.1464|12.2811
1134|33|17|hombre|104|22.6916|0.990177|136.128|152.96|4.47917|23.2539
1135|191|41|hombre|30|69.053|9.3819|107.452|299.409|1.94321|14.1707
1136|40|0|hombre|464|84.1395|6.02555|91.7225|47.1809|10.8339|19.9213
1137|52|36|mujer|209|45.1729|5.68141|121.79|1.30341|3.14773|5.37395
1138|326|87|hombre|87|20.9221|2.23443|110.314|277.284|28.0944|7.77969
1139|60|79|hombre|91|44.9098|8.82857|196.772|7.4459|4.70395|5.13655
114|466|44|mujer|13|20.1229|2.67822|95.445|211.242|40.1579|12.095
1140|6|8|mujer|158|73.0199|1.12595|34.6616|259.152|40.1014|8.48227
1141|471|37|hombre|12|3.31561|1.14753|8.57049|265.274|24.3401|23.6354
1142|58|31|hombre|473|31.5915|4.21364|168.255|87.9009|43.0572|11.7524
1143|376|53|hombre|53|98.4274|6.37329|162.273|6.17507|12.2013|19.8899
1144|296|28|mujer|315|42.1592|5.42632|145.309|52.6934|2.92507|1.059
1145|183|16|hombre|183|80.9049|7.42922|153.812|291.086|11.9055|17.8834
1146|353|22|hombre|350|78.3354|7.96761|22.6402|253.02|47.7998|3.23259
1147|67|79|mujer|235|84.7968|7.90982|163.342|254.96|48.231|0.186807
1148|161|37|mujer|213|74.5981|8.62194|161.64|37.2341|27.2739|9.66878
1149|5|54|mujer|242|2.28335|7.75188|176.608|260.194|25.2321|7.90015
115|188|58|hombre|48|37.7855|9.70806|120.286|6.9069|28.2828|7.30505
1150|284|52|hombre|317|79.7146|1.63866|106.057|101.801|4.11286|21.2829
1151|387|5|mujer|97|41.716|1.23595|164.74|182.116|20.1907|12.9254
1152|222|31|hombre|219|23.4027|3.68488|168.054|206.472|23.961|7.3983
1153|58|11|hombre|4|38.8132|7.12068|27.7377|265.401|37.3432|13.8766
1154|305|22|mujer|145|83.2058|8.43054|65.6982|105.397|6.3256|0.238794
1155|348|38|mujer|17|61.472|9.90934|17.4048|139.464|21.7842|0.927899
1156|458|62|hombre|192|91.2192|4.809|23.3575|274.18|3.89|15.2022
1157|440|2|mujer|351|76.2317|5.37367|146.378|44.7158|13.6324|2.40863
1158|312|10|mujer|492|30.105|7.46764|37.1241|125.894|39.4068|15.7102
1159|45|79|hombre|118|34.8017|4.65908|95.1038|259.095|28.786|17.8602
116|450|34|mujer|290|80.4835|4.1624|141.48|161.837|19.1256|17.7751
1160|99|18|hombre|37|45.6765|1.54279|37.6766|240.931|39.7018|22.0265
1161|409|78|hombre|439|50.4672|4.22669|161.702|216.211|10.0802|7.95977
1162|459|31|hombre|432|89.5313|7.76309|95.7821|72.3681|38.9297|12.7622
1163|14|93|mujer|365|83.914|4.63365|89.6009|224.717|24.791|17.036
1164|258|88|hombre|417|63.0142|7.2194|191.907|92.2662|38.6731|6.22452
1165|201|68|hombre|0|34.778|2.48784|165.793|190.14|2.50209|18.936
1166|195|67|hombre|226|64.1579|8.39969|183.045|111.597|26.3135|17.8663
1167|96|31|mujer|269|32.0414|1.39153|3.60627|156.811|47.2686|18.8471
1168|497|67|hombre|113|53.7029|4.5524|64.1747|64.8558|49.6247|11.7851
1169|0|49|mujer|330|59.3437|6.21969|70.7795|57.9112|32.8201|2.61017
117|15|34|mujer|65|2.10329|5.38663|74.5876|0.923904|36.251|17.1139
1170|7|76|mujer|63|81.5537|2.18296|44.0268|170.374|40.8349|16.1416
1171|43|32|hombre|191|6.32581|4.53671|181.282|164.397|19.398|7.57962
1172|458|20|mujer|216|74.5645|9.38496|95.4574|239.31|46.8427|23.8721
1173|88|42|hombre|325|32.7623|3.22205|109.822|25.8419|27.069|21.5563
1174|271|7|hombre|127|74.6198|7.4791|81.8322|0.779446|31.2283|24.4616
1175|466|82|hombre|392|13.5054|1.65776|59.5171|95.5855|42.8641|5.75548
1176|321|95|hombre|317|40.0558|4.15111|108.459|107.35|28.8064|19.9066
1177|413|18|hombre|53|43.551|5.22459|181.261|290.869|21.1618|8.24116
1178|284|26|mujer|121|44.5401|3.61498|159.07|162.299|23.9746|23.9195
1179|323|69|mujer|61|54.677|7.23615|75.0095|210.801|1.24379|14.3497
118|31|20|mujer|71|21.3133|7.55473|2.08896|226.993|25.2277|22.8429
1180|259|54|mujer|345|51.875|4.51061|47.3668|111.566|26.8832|20.8812
1181|120|1|hombre|237|43.2985|0.758602|142.169|33.4212|26.3258|1.72028
1182|399|0|hombre|81|34.4087|1.70625|55.3257|213.642|11.7299|3.52259
1183|431|53|hombre|370|0.658044|5.75361|163.863|79.4151|31.3108|10.5392
1184|199|44|mujer|76|84.465|4.9087|122.936|48.4345|44.2532|6.50277
1185|280|98|mujer|110|42.3275|4.87035|125.847|252.71|29.8919|15.2071
1186|391|86|hombre|349|24.0386|7.5973|90.1153|290.798|21.0194|16.4305
1187|201|56|hombre|277|56.7039|8.08407|56.6148|214.818|39.596|12.5691
1188|104|14|mujer|318|63.8913|4.37948|120.232|283.574|5.79361|9.81252
1189|240|33|hombre|295|12.4311|9.8766|145.729|220.568|15.5293|3.24757
119|221|2|hombre|202|84.702|2.45855|79.8342|73.1463|36.7345|8.73423
1190|327|39|mujer|309|60.6432|1.68076|77.9691|243.936|15.0078|23.2347
1191|488|36|mujer|171|21.2283|9.95477|138.997|280.611|34.755|3.64191
1192|96|53|hombre|110|78.8494|1.90517|149.281|94.034|6.0927|10.1232
1193|207|91|hombre|14|17.0526|3.80022|3.23224|196.522|4.6511|17.3546
1194|73|75|mujer|126|59.1679|0.718189|132.485|236.021|38.7199|12.5761
1195|339|54|hombre|36|9.42139|5.36616|188.316|236.58|1.7228|10.8407
1196|380|41|mujer|136|66.8207|3.24199|188.595|164.822|35.8741|2.68317
1197|74|22|mujer|460|29.1341|2.69217|122.404|247.291|40.989|12.8691
1198|145|14|hombre|202|94.1302|1.33914|71.1268|43.2385|16.7323|2.02631
1199|460|51|hombre|21|95.5175|3.70847|80.1376|171.364|47.5618|24.1849
12|204|71|mujer|24|80.4406|9.52209|40.9301|238.899|43.4074|13.2644
120|297|9|hombre|416|38.1883|0.606422|26.8043|68.4706|38.2425|17.6608
1200|481|52|hombre|320|5.27021|8.14211|17.3073|226.423|3.94715|0.547903
1201|198|28|mujer|158|53.7181|6.87173|121.784|270.078|8.47393|19.5375
1202|470|42|mujer|195|53.5712|8.26622|46.5068|52.1508|15.3875|16.5846
1203|111|14|mujer|308|13.4062|0.553425|19.5221|15.8356|21.1816|20.608
1204|157|34|hombre|468|65.2126|0.618009|22.181|274.593|43.376|1.80427
1205|133|73|mujer|292|67.6248|2.71004|20.806|145.774|27.3278|17.0144
1206|190|67|mujer|437|40.4613|3.67728|1.65813|18.2978|43.7602|24.0435
1207|408|79|mujer|194|67.7467|0.735958|78.0346|278.206|30.7263|5.58619
1208|37|29|hombre|340|10.6071|0.464165|87.3791|291.782|39.9615|0.794072
1209|88|51|hombre|492|12.6401|3.4961|193.464|30.4142|7.83616|6.35835
121|277|73|hombre|475|29.7372|6.11536|109.634|60.0891|13.1049|9.32507
1210|114|15|hombre|48|83.3153|1.00377|136.983|108.349|31.6083|18.4049
1211|224|76|hombre|179|3.17142|4.11808|57.3865|207.464|2.96366|1.6891
1212|482|0|hombre|340|47.7411|2.94754|136.684|108.265|21.724|20.6163
1213|294|36|mujer|356|0.687781|0.815644|152.411|260.437|45.727|8.7859
1214|77|12|hombre|180|87.3983|0.507147|6.99175|48.4079|25.5485|11.9572
1215|495|73|mujer|148|2.8597|5.83668|106.854|249.493|22.159|24.7837
1216|413|45|hombre|57|27.0895|4.989|119.081|128.567|26.4467|5.34619
1217|471|20|mujer|82|93.4145|3.83385|148.287|231.945|9.24793|11.7973
1218|145|22|hombre|209|42.259|3.8809|14.0149|164.246|42.112|13.1414
1219|72|32|mujer|448|26.4217|8.54199|113.578|172.43|32.8166|10.4596
122|276|20|hombre|438|99.9801|1.54836|103.094|116.836|22.0084|11.8782
1220|312|14|mujer|102|94.1809|9.32536|46.0765|77.6939|42.1324|9.42296
1221|321|65|hombre|417|28.848|1.15227|46.0576|150.355|0.00416993|14.8872
1222|383|55|hombre|170|54.9013|4.92385|131.573|177.603|48.7698|17.9208
1223|73|67|hombre|155|53.298|8.23254|48.4169|199.402|2.63827|3.07099
1224|19|51|mujer|462|24.5788|3.91464|57.8295|166.01|20.3782|24.3863
1225|312|20|mujer|455|11.2493|6.64979|108.301|162.392|34.8072|5.29038
1226|258|4|mujer|76|30.0307|9.26054|26.294|21.9838|0.290786|5.90496
1227|357|33|hombre|461|57.5044|2.18134|10.574|102.405|22.8289|17.1716
1228|391|18|hombre|403|36.0647|1.27475|93.8625|5.4978|25.5356|4.21442
1229|226|73|mujer|471|61.774|7.64573|14.9686|182.347|21.5539|16.829
123|256|39|hombre|91|69.6331|7.34553|131.863|271.531|14.8285|14.6429
1230|261|54|hombre|36|27.887|9.03805|163.05|278.323|29.6361|3.35571
1231|291|37|mujer|92|22.5602|7.41966|178.963|58.5369|6.05883|6.31616
1232|283|33|hombre|31|40.0942|1.15686|7.79797|184.21|41.6084|22.126
1233|184|68|hombre|278|74.6012|5.29633|67.4598|209.384|41.271|7.36834
1234|496|82|hombre|376|48.8917|9.41732|176.906|150.681|13.3422|8.54216
1235|26|38|mujer|195|78.2186|2.95628|95.8789|52.7177|45.5139|14.2399
1236|178|77|hombre|248|4.2715|5.64814|127.427|274.801|40.9904|15.8764
1237|144|15|mujer|482|33.6968|9.20264|20.9259|99.0695|3.60986|24.1753
1238|267|28|hombre|430|19.3626|7.61565|164.937|67.6875|17.0655|9.50751
1239|355|82|mujer|468|62.0896|9.90727|109.722|88.386|41.2126|4.0388
124|489|68|mujer|146|11.6483|1.08831|172.353|105.205|14.6207|4.42361
1240|143|94|mujer|118|61.784|6.71589|12.6346|253.608|7.04937|15.5095
1241|137|70|mujer|375|52.1953|8.7894|75.0019|125.317|49.1269|15.4918
1242|495|35|mujer|276|70.8859|9.98608|192.779|90.2586|11.0563|8.1439
1243|347|72|mujer|428|14.0646|6.76605|107.698|219.634|24.684|7.95907
1244|132|88|mujer|129|8.64365|7.97978|147.182|107.041|17.3766|22.4035
1245|88|1|hombre|18|72.0982|7.00635|198.669|32.9491|10.933|2.01065
1246|450|72|hombre|289|52.574|8.13484|10.1476|200.573|17.0083|10.0835
1247|5|38|hombre|403|51.2562|7.88544|107.846|18.3543|47.0061|7.87826
1248|167|71|mujer|435|22.6217|2.16755|154.018|143.685|23.8779|11.0363
1249|144|96|mujer|472|67.337|3.68567|45.1802|109.964|2.15758|14.541
125|62|80|hombre|334|55.5084|8.20683|16.1233|50.1159|48.2516|17.5235
1250|150|40|hombre|246|50.7187|6.83751|143.963|132.239|7.07152|3.36944
1251|271|46|hombre|487|69.8326|5.98794|35.6953|211.265|25.885|14.211
1252|490|57|hombre|114|61.8909|6.28977|87.0307|284.315|36.813|6.8872
1253|295|27|hombre|162|4.01685|3.75232|49.1938|141.656|34.447|11.4758
1254|428|41|mujer|299|56.2754|8.51952|159.427|141.152|41.9537|1.62438
1255|28|47|hombre|185|17.7506|3.03304|194.618|158.452|17.4429|10.7368
1256|131|56|mujer|160|72.5516|0.269313|103.821|7.88773|35.5022|10.7464
1257|73|1|mujer|195|85.4738|3.98433|74.6472|21.4687|33.5178|21.2208
1258|319|7|mujer|438|45.3387|4.33909|132.626|84.6121|45.5509|8.65428
1259|152|3|hombre|321|91.9095|5.11016|167.158|262.788|12.5596|12.429
126|58|65|mujer|27|47.0847|3.27843|185.431|146.973|17.093|3.47493
1260|256|44|mujer|472|41.975|4.76065|169.227|7.0923|16.3473|7.50088
1261|303|17|mujer|101|76.4626|0.271232|69.4728|21.8641|4.99058|15.4729
1262|392|35|mujer|327|66.7849|8.1471|41.2359|18.2751|22.9675|20.8146
1263|211|57|mujer|488|4.7136|6.86324|112.505|4.77423|22.4912|2.82387
1264|326|30|hombre|473|97.6219|2.81855|184.832|252.977|17.7136|4.75158
1265|407|31|hombre|391|44.2012|5.59332|122.927|25.6452|20.6663|8.51205
1266|155|17|mujer|460|36.9331|8.82885|165.592|74.3136|36.1888|14.2478
1267|110|92|mujer|24|22.5811|8.32352|7.08399|240.014|41.3585|4.36333
1268|483|34|hombre|305|96.6606|7.51717|81.4963|22.599|44.502|2.40549
1269|224|61|hombre|176|92.7725|3.51062|65.4898|112.375|3.04542|15.5859
127|101|8|mujer|298|90.3136|5.5532|100.278|143.283|37.9733|17.0907
1270|35|88|mujer|68|45.4455|2.68832|10.5111|148.37|2.69498|16.7134
1271|253|16|mujer|169|51.047|8.21718|148.494|33.5406|49.7344|20.5662
1272|182|79|hombre|478|87.8102|0.986351|29.4757|111.957|10.277|6.02402
1273|21|86|hombre|145|63.7348|6.0349|42.9685|54.4344|46.6582|8.51616
1274|201|30|hombre|279|17.5859|6.24931|195.63|271.763|12.8469|14.6097
1275|321|1|mujer|141|37.1839|5.73967|34.2181|22.2681|31.4774|3.27347
1276|25|36|mujer|289|45.9679|5.30896|133.627|36.7772|19.5711|11.0994
1277|330|99|mujer|207|58.2349|0.901786|85.6797|281.661|38.0294|12.5765
1278|216|60|mujer|251|29.6695|6.60745|123.67|148.935|29.7542|18.5616
1279|281|32|hombre|301|47.1337|5.14046|160.834|132.455|2.25034|6.49623
128|357|37|hombre|65|43.7102|8.39338|79.742|172.371|9.97498|4.44126
1280|462|34|hombre|441|90.3701|5.47017|165.936|60.4564|38.7744|23.6645
1281|390|65|hombre|194|75.7859|8.09502|77.6055|254.312|18.9301|1.16843
1282|2|56|hombre|471|93.5718|5.967|2.34029|178.215|34.2115|2.81569
1283|157|81|hombre|465|53.9549|9.71745|94.8604|231.299|21.5871|1.25226
1284|442|14|mujer|499|32.0934|8.83089|97.2499|287.276|23.5816|6.89502
1285|11|76|mujer|231|83.7933|5.53042|136.825|36.3685|48.0283|8.9819
1286|155|13|mujer|197|73.4984|6.59835|108.731|134.207|49.7187|20.6014
1287|373|80|hombre|384|41.8804|2.00097|117.988|104.339|7.86497|13.6332
1288|409|77|hombre|493|54.8451|5.53179|99.2905|129.651|1.44351|1.01429
1289|215|31|mujer|241|29.506|6.10201|108.041|23.9256|2.57485|13.145
129|389|72|hombre|162|46.6795|3.50883|70.1248|201.468|27.7324|1.02242
1290|372|47|mujer|231|22.5558|2.47731|142.24|164.74|5.10881|19.6576
1291|113|86|mujer|80|29.4563|6.05558|0.0157826|220.519|19.7449|23.4638
1292|102|38|hombre|114|3.0986|7.78631|109.417|289.766|8.29917|18.8981
1293|403|26|hombre|99|97.1013|7.89386|155.417|97.6609|43.9358|9.37919
1294|438|83|mujer|255|83.0254|2.61734|148.942|11.9308|32.4985|4.75435
1295|423|32|hombre|72|87.2557|6.51186|195.271|132.945|39.7016|3.61642
1296|205|37|mujer|205|88.0358|6.26274|17.9015|94.5196|28.1398|6.84994
1297|355|92|mujer|309|48.724|7.14613|175.166|51.1184|38.7976|19.4008
1298|422|90|mujer|115|61.0743|8.15085|9.00104|22.7974|42.7311|10.0426
1299|144|53|hombre|196|65.4236|4.60582|131.992|189.292|21.018|4.93613
13|388|40|mujer|292|42.041|2.9719|161.718|191.654|45.029|16.1322
